target,capacity,max_p,max_w,min_p,min_w,avg_eff,mean,std
default_kp,22310,995.0,999.0,7.0,38.0,0.704043623867927,501.22019818282223,285.4702400276879
default_kp,22310,989.0,999.0,7.0,38.0,0.7046547793529412,500.86792118268846,284.2368982503349
default_kp,22263,995.0,999.0,7.0,38.0,0.7046285889799252,500.6336307959269,285.3412867656203
default_kp,22310,995.0,999.0,7.0,38.0,0.6935871526363749,493.9529506768935,287.75096959451645
default_kp,22310,995.0,999.0,7.0,38.0,0.7110182019969002,504.42152954402087,283.1986815517354
default_kp,22481,989.0,999.0,7.0,38.0,0.6837524941474278,503.00743906654367,282.8790402418457
default_kp,22245,995.0,999.0,7.0,38.0,0.7169644544649438,503.6164094970258,283.835568215869
default_kp,22310,995.0,999.0,7.0,38.0,0.7324934473266231,504.77642611515927,284.4570610618664
default_kp,23041,995.0,999.0,7.0,38.0,0.7037851197302203,510.3603650463464,286.8678449903239
default_kp,22310,989.0,999.0,7.0,38.0,0.6911627591672506,495.52893188976645,285.4553907367948
default_kp,22501,995.0,999.0,7.0,38.0,0.7009450839879113,503.6110319047477,286.3660231029602
default_kp,22243,995.0,999.0,7.0,38.0,0.7050373742400542,500.38830352206,285.42791872686723
default_kp,22310,995.0,999.0,7.0,38.0,0.6968473349552149,497.2838281475687,285.8845838608287
default_kp,22434,995.0,999.0,7.0,5.476614384764424,1.8748904871719705,502.7751311901941,290.07131897064005
default_kp,22702,995.0,999.0,7.0,38.0,0.7240878398702558,506.1271875906944,288.6611016075958
default_kp,22722,995.0,999.0,7.0,38.0,0.7056113510035125,506.37495526513806,283.5229274091751
default_kp,22268,995.0,999.0,7.0,38.0,0.7045614988501785,500.6945869297701,285.31680076670654
default_kp,22263,995.0,999.0,7.0,38.0,0.7013576924293301,497.4674029349509,288.32569215471284
default_kp,22263,995.0,999.0,7.0,38.0,0.6996195547015823,496.3709426250573,281.7427686342591
default_kp,22702,995.0,999.0,7.0,38.0,0.8153388275315245,509.5947251218225,288.7153439408338
default_kp,22310,989.0,999.0,7.0,38.0,0.6943005035820365,497.0664266530116,285.69000525111284
default_kp,22501,995.0,999.0,7.0,38.0,0.698405935482876,502.44556274093657,288.07151309856766
default_kp,23285,995.0,999.0,7.0,38.0,0.7016384754405786,513.4052204513563,288.716214805009
