gen,nevals,avg,std,min,max
0,16,65.5625,8.154513704078251,51.0,78.0
1,16,68.5,10.23474474522936,49.0,90.0
2,16,68.875,6.489173676208705,58.0,82.0
3,16,66.8125,8.179385291695214,49.0,81.0
4,16,64.6875,7.839951769622055,48.0,81.0
5,16,66.1875,9.951248351337634,45.0,89.0
6,16,65.0625,8.32517830139391,47.0,78.0
7,16,66.1875,8.457383977921305,52.0,81.0
8,16,67.125,5.644410952437818,57.0,75.0
9,16,66.0,7.729812416870153,55.0,79.0
10,16,69.375,7.372881051529314,54.0,84.0
11,16,67.125,6.203577596838779,55.0,76.0
12,16,71.4375,10.295440434969258,52.0,95.0
13,16,66.5,6.623820649745885,55.0,75.0
14,16,68.875,7.025622748198198,57.0,80.0
15,16,64.0,6.698880503487131,52.0,73.0
16,16,69.4375,9.096487989878291,54.0,85.0
17,16,70.4375,11.073440917348139,52.0,88.0
18,16,68.6875,9.2986474150814,53.0,83.0
19,16,70.4375,8.108396496842024,56.0,85.0
20,16,70.375,6.641488914392616,60.0,81.0
21,16,69.375,8.275528684017717,54.0,80.0
22,16,71.625,6.679025003696273,62.0,87.0
23,16,71.0,7.0622234459127675,57.0,87.0
24,16,70.3125,10.866915098131576,55.0,89.0
25,16,70.6875,7.638052353185333,55.0,86.0
26,16,67.8125,8.04843734833042,54.0,78.0
27,16,69.3125,8.083306486209713,53.0,83.0
28,16,68.75,7.668930825088983,59.0,86.0
29,16,69.4375,9.930815361791801,46.0,89.0
30,16,67.5,8.90926484060273,52.0,85.0
31,16,67.8125,9.056894818313836,55.0,88.0
32,16,70.125,10.240086669555097,55.0,90.0
33,16,71.0625,6.20955664681465,62.0,82.0
34,16,67.3125,7.217329405673542,53.0,79.0
35,16,69.6875,7.522622132607752,57.0,88.0
36,16,69.5,6.882949948968102,56.0,80.0
37,16,71.625,9.713875385241463,55.0,86.0
38,16,70.6875,6.43932013103868,57.0,80.0
39,16,72.8125,9.022324741994161,58.0,88.0
40,16,67.3125,6.400378406781899,56.0,80.0
41,16,74.0625,9.743387180544556,60.0,90.0
42,16,70.3125,11.189943867151435,46.0,84.0
43,16,69.3125,6.825675332888315,55.0,83.0
44,16,72.1875,8.632922086408518,54.0,88.0
45,16,65.6875,6.554757337232249,56.0,77.0
46,16,69.3125,8.787197718840746,55.0,82.0
47,16,70.3125,8.730111325177933,57.0,90.0
48,16,74.5625,7.6073052883396235,58.0,86.0
49,16,70.1875,8.861565536066411,57.0,86.0
50,16,71.5,10.130399794677405,56.0,95.0
51,16,69.5625,5.905175166749925,61.0,81.0
52,16,64.375,7.8888766627448295,50.0,82.0
53,16,68.5625,9.433774098948946,56.0,92.0
54,16,73.5625,9.178567085880017,54.0,91.0
55,16,72.0,9.185586535436919,58.0,87.0
56,16,72.625,7.30475016684349,57.0,87.0
57,16,73.125,10.481382303875764,58.0,101.0
58,16,67.0,10.571187255932987,51.0,86.0
59,16,70.75,10.395311443145895,48.0,88.0
60,16,69.6875,9.378957498037828,52.0,84.0
61,16,67.4375,6.698588937231483,56.0,80.0
62,16,65.9375,9.549010092674528,54.0,91.0
63,16,71.0,8.796306042879591,52.0,83.0
64,16,69.75,10.848386976873567,47.0,87.0
65,16,69.9375,9.896140346114741,53.0,86.0
66,16,68.125,8.615937267645348,43.0,80.0
67,16,70.1875,8.538286932986031,56.0,84.0
68,16,70.4375,5.7005345144117845,59.0,78.0
